,Date,Govt,ESG,Shariah
510,2023-01-12,205205.02729465504,316855.1758052609,262242.8991185116
511,2023-01-13,203281.70623333726,318035.40693385695,261508.3251714009
512,2023-01-17,201967.7542211499,317482.17359232757,261508.32517140088
513,2023-01-18,206861.74939697827,312355.54462748865,263712.0470127329
514,2023-01-19,205566.84016757624,309331.2023604614,263418.2174338886
515,2023-01-20,202234.35318014448,315379.886894516,262830.5582762
516,2023-01-23,201282.21404087826,318994.34472584125,262977.47306562215
517,2023-01-24,204176.71702424757,318182.9358249315,264593.5357492657
518,2023-01-25,204671.82937666602,317408.4091467904,263418.2174338886
519,2023-01-26,203719.6902373998,320764.6914187353,262683.6434867779
520,2023-01-27,203205.535102196,321723.6292107196,262830.5582762001
521,2023-01-30,202462.86657356835,317924.7602655512,262536.72869735584
522,2023-01-31,204081.50311032095,323162.035898696,262977.4730656222
523,2023-02-01,206004.8241716387,326850.2581755585,264593.5357492657
524,2023-02-02,206271.42313063322,331976.88714039745,263712.04701273283
525,2023-02-03,203186.4923194107,328325.54708630353,263858.96180215495
526,2023-02-06,201682.1124793701,325891.3203835743,261655.23996082286
527,2023-02-07,200063.47594261754,329505.7782148996,262683.6434867778
528,2023-02-08,201015.61508188376,326223.2603884919,263271.3026444664
529,2023-02-09,199111.33680335133,323346.4470125391,262095.98432908932
530,2023-02-10,196883.33121746837,323825.91590853117,261949.06953966717
531,2023-02-13,198540.0533197916,327772.31374477415,261508.3251714008
532,2023-02-14,198083.02653294377,327846.0781903114,260920.66601371224
533,2023-02-15,196235.87660276733,329100.0737644447,261361.4103819786
534,2023-02-16,193455.63031610998,325190.5581509704,260920.66601371224
535,2023-02-17,194960.0101561506,324157.8559134489,259745.34769833516
536,2023-02-21,191170.49638187102,317002.7046963356,259451.51811949088
537,2023-02-22,192922.43239812087,316375.706909269,259598.43290891306
538,2023-02-23,194807.66789386797,319436.9313990649,259745.34769833516
539,2023-02-24,192274.97778341983,315490.53356282203,259451.51811949088
540,2023-02-27,192808.1757014089,316560.1180231121,259892.26248775728
541,2023-02-28,193684.14370953382,315379.8868945161,259010.77375122445
542,2023-03-01,191132.4108163004,314199.65576592006,258570.02938295808
543,2023-03-02,189437.60314840655,317482.1735923277,259157.68854064657
544,2023-03-03,194026.9137996697,322424.39144332346,258716.94417238017
545,2023-03-06,192522.5339596291,321723.6292107196,258863.85896180233
546,2023-03-07,193703.18649231922,316633.88246864924,258570.02938295805
547,2023-03-08,193893.61432017246,317555.9380378649,257982.37022526946
548,2023-03-09,194369.68388980557,311949.84017703385,259451.51811949082
549,2023-03-10,201072.7434302398,306196.2134251283,260333.0068560236
550,2023-03-13,201529.77021708756,305421.68674698716,261361.41038197855
551,2023-03-14,198216.32601244113,309995.0823702967,261655.23996082283
552,2023-03-15,202043.92535229132,307302.680108187,260773.75122429006
553,2023-03-16,200463.3743811094,312687.4846324064,260626.8364348679
554,2023-03-17,203472.13406119065,308962.3801327752,262389.81390793354
555,2023-03-20,201682.11247937015,312097.3690681084,260920.66601371224
556,2023-03-21,199949.21924590564,316191.2957954258,260920.66601371224
