,Date,CNY,INR,USD
147,2021-08-04,307977.3030707613,297243.4915773357,304597.0721028864
148,2021-08-05,307877.16955941287,297243.4915773357,304473.9362429877
149,2021-08-06,309746.3284379176,296784.0735068916,304063.48337665846
150,2021-08-09,310246.9959946599,297702.90964777983,305746.3401286081
151,2021-08-10,310614.1522029376,298162.3277182239,305664.24955534225
152,2021-08-11,310113.48464619525,297702.9096477798,305541.1136954435
153,2021-08-12,310547.3965287053,297702.9096477798,304145.57394992426
154,2021-08-13,308811.74899866525,297702.9096477798,304802.298536051
155,2021-08-16,309178.905206943,297702.9096477798,304638.1173895193
156,2021-08-17,310847.79706275073,297243.49157733563,304309.755096456
157,2021-08-18,310881.1748998669,298162.32771822385,305212.7514023802
158,2021-08-19,312316.42189586157,297702.9096477798,304843.3438226839
159,2021-08-20,312082.77703604853,298162.32771822385,305500.06840881065
160,2021-08-23,310280.37383177615,298162.32771822385,304966.47968258266
161,2021-08-24,310046.72897196305,297702.9096477798,304186.6192365572
162,2021-08-25,309846.4619492661,297243.49157733563,304309.755096456
163,2021-08-26,310614.15220293764,297243.49157733563,304145.57394992426
164,2021-08-27,309379.1722296399,297702.9096477798,304391.8456697218
165,2021-08-30,309245.6608811753,297243.49157733563,301682.8567519492
166,2021-08-31,309178.905206943,297243.49157733563,301313.4491722529
167,2021-09-01,308578.1041388522,296784.07350689155,299630.59242030326
168,2021-09-02,307843.7917222968,296784.07350689155,299589.5471336703
169,2021-09-03,307209.6128170899,296784.07350689155,299835.8188534678
170,2021-09-07,308811.7489986653,296784.07350689155,300082.09057326533
171,2021-09-08,309245.66088117537,297243.49157733563,301231.35859898705
172,2021-09-09,308678.2376502007,296784.07350689155,302873.1700643038
173,2021-09-10,309012.0160213622,296324.6554364475,301847.03789848083
174,2021-09-13,309145.52736982686,295865.2373660034,301764.947325215
175,2021-09-14,309245.6608811753,296324.65543644753,301847.0378984809
176,2021-09-15,308711.6154873168,295865.23736600345,302298.536051443
177,2021-09-16,309946.59546061454,295405.8192955593,301436.58503215166
178,2021-09-17,311081.4419225638,296784.0735068916,301929.1284717467
179,2021-09-20,311214.9532710284,297243.4915773357,302503.7624846076
180,2021-09-21,311081.4419225638,297243.4915773357,302339.58133807586
181,2021-09-22,311949.26568758383,297243.4915773357,302873.17006430385
182,2021-09-23,310747.6635514023,296784.0735068916,303201.5323573672
183,2021-09-24,311515.3538050738,296784.0735068916,303078.39649746846
184,2021-09-27,311682.2429906546,297243.4915773357,302955.2606375697
185,2021-09-28,312983.97863818466,296784.0735068916,303037.3512108355
186,2021-09-29,314886.5153538055,296784.0735068916,304391.84566972184
187,2021-09-30,314586.1148197601,297243.4915773357,305048.5702558485
188,2021-10-01,313885.18024032086,296324.6554364475,304761.25324941817
189,2021-10-04,313117.4899866493,296324.6554364475,304350.800383089
190,2021-10-05,313684.91321762395,296324.6554364475,306074.70242167154
191,2021-10-06,314652.8704939924,296324.6554364475,306033.6571350387
192,2021-10-07,314485.98130841163,296324.6554364475,306854.5628676971
193,2021-10-08,313985.3137516693,296324.6554364475,307141.8798741275
194,2021-10-11,314819.7596795732,295865.2373660034,309112.0536325076
195,2021-10-12,315487.3164218963,296324.65543644753,309481.4612122039
196,2021-10-13,314018.6915887855,296324.65543644753,309809.8235052672
197,2021-10-14,313618.15754339163,295405.8192955593,309112.05363250757
198,2021-10-15,313551.40186915937,295865.23736600345,307839.6497468871
199,2021-10-18,313584.7797062755,295405.8192955593,307880.69503352
200,2021-10-19,313050.73431241704,295405.8192955593,308824.7366260771
201,2021-10-20,312283.0440587455,293108.7289433388,308332.19318648207
202,2021-10-21,312983.9786381847,293568.1470137829,307059.7893008616
203,2021-10-22,312449.9332443262,293568.1470137829,307306.0610206591
204,2021-10-25,313117.4899866493,293108.7289433388,307798.6044602541
205,2021-10-26,313584.77970627544,293108.7289433388,308209.0573265833
206,2021-10-27,313284.37917223,293108.7289433388,307388.15159392497
207,2021-10-28,311582.1094793061,293568.1470137829,308044.87618005165
208,2021-10-29,314152.20293725,293568.1470137829,307018.7440142287
